Type,Result,Values,Always,Never
2,3+,12,12,34567
2,4+,13,13,24567
2,5+,"14,23",,567
2,6+,"15,24",,367
2,7+,"16,25,34",,7
2,8+,"17,26,35",,4
2,9+,"27,36,45",,1
2,10+,"37,46",,125
2,11+,"47,56",,123
2,12+,57,57,12346
2,13+,67,67,12345
2,1-,"12,23,34,45,56,67",,
2,2-,"13,24,35,46,57",,
2,3-,"14,25,36,47",,
2,4-,"15,26,37",,4
2,5-,"16,27",,345
2,6-,17,17,23456
2,2x,12,12,34567
2,3x,13,13,24567
2,4x,14,14,23567
2,5x,15,15,23467
2,6x,"16,23",,457
2,7x,17,17,23456
2,8x,24,24,13567
2,10x,25,25,13467
2,12x,"26,34",,157
2,14x,27,27,13456
2,15x,35,35,12467
2,18x,36,36,12457
2,20x,45,45,12367
2,21x,37,37,12456
2,24x,46,46,12357
2,28x,47,47,12356
2,30x,56,56,12347
2,35x,57,57,12346
2,42x,67,67,12345
2,2:,"12,24,36",,57
2,3:,"13,26",,457
2,4:,14,14,23567
2,5:,15,15,23467
2,6:,16,16,23457
2,7:,17,17,23456
3,6+,123,123,4567
3,7+,124,124,3567
3,8+,"125,134",1,67
3,9+,"126,135,234",,7
3,10+,"127,136,145,235",,
3,11+,"137,146,236,245",,
3,12+,"147,156,237,246,345",,
3,13+,"157,247,256,346",,
3,14+,"167,257,347,356",,
3,15+,"267,357,456",,1
3,16+,"367,457",7,12
3,17+,467,467,1235
3,18+,567,567,1234
3,4+L,112,12,34567
3,5+L,"113,122",1,4567
3,6+L,"114,123",1,567
3,7+L,"115,124,133,223",,67
3,8+L,"116,125,134,224,233",,7
3,9+L,"117,126,135,144,225,234",,
3,10+L,"127,136,145,226,235,244,334",,
3,11+L,"137,146,155,227,236,245,335,344",,
3,12+L,"147,156,237,246,255,336,345",,
3,13+L,"157,166,247,256,337,346,355,445",,
3,14+L,"167,257,266,347,356,446,455",,
3,15+L,"177,267,357,366,447,456",,
3,16+L,"277,367,457,466,556",,1
3,17+L,"377,467,557,566",,12
3,18+L,"477,567",7,123
3,19+L,"577,667",7,1234
3,20+L,677,67,12345
3,6x,123,123,4567
3,8x,124,124,3567
3,10x,125,125,3467
3,12x,"126,134",1,57
3,14x,127,127,3456
3,15x,135,135,2467
3,18x,136,136,2457
3,20x,145,145,2367
3,21x,137,137,2456
3,24x,"146,234",4,57
3,28x,147,147,2356
3,30x,"156,235",5,47
3,35x,157,157,2346
3,36x,236,236,1457
3,40x,245,245,1367
3,42x,"167,237",7,45
3,48x,246,246,1357
3,56x,247,247,1356
3,60x,"256,345",5,17
3,70x,257,257,1346
3,72x,346,346,1257
3,84x,"267,347",7,15
3,90x,356,356,1247
3,105x,357,357,1246
3,120x,456,456,1237
3,126x,367,367,1245
3,140x,457,457,1236
3,168x,467,467,1235
3,210x,567,567,1234
3,2xL,112,12,34567
3,3xL,113,13,24567
3,4xL,"114,122",1,3567
3,5xL,115,15,23467
3,6xL,"116,123",1,457
3,7xL,117,17,23456
3,8xL,124,124,3567
3,9xL,133,13,24567
3,10xL,125,125,3467
3,12xL,"126,134,223",,57
3,14xL,127,127,3456
3,15xL,135,135,2467
3,16xL,"144,224",4,3567
3,18xL,"136,233",3,457
3,20xL,"145,225",5,367
3,21xL,137,137,2456
3,24xL,"146,226,234",,57
3,25xL,155,15,23467
3,28xL,"147,227",7,356
3,30xL,"156,235",5,47
3,32xL,244,24,13567
3,35xL,157,157,2346
3,36xL,"166,236,334",,57
3,40xL,245,245,1367
3,42xL,"167,237",7,45
3,45xL,335,35,12467
3,48xL,"246,344",4,157
3,49xL,177,17,23456
3,50xL,255,25,13467
3,54xL,336,36,12457
3,56xL,247,247,1356
3,60xL,"256,345",5,17
3,63xL,337,37,12456
3,70xL,257,257,1346
3,72xL,"266,346",6,157
3,75xL,355,35,12467
3,80xL,445,45,12367
3,84xL,"267,347",7,15
3,90xL,356,356,1247
3,96xL,446,46,12357
3,98xL,277,27,13456
3,100xL,455,45,12367
3,105xL,357,357,1246
3,108xL,366,36,12457
3,112xL,447,47,12356
3,120xL,456,456,1237
3,126xL,367,367,1245
3,140xL,457,457,1236
3,144xL,466,46,12357
3,147xL,377,37,12456
3,150xL,556,56,12347
3,168xL,467,467,1235
3,175xL,557,57,12346
3,180xL,566,56,12347
3,196xL,477,47,12356
3,210xL,567,567,1234
3,245xL,577,57,12346
3,252xL,667,67,12345
3,294xL,677,67,12345
4,10+,1234,1234,567
4,11+,1235,1235,467
4,12+,"1236,1245",12,7
4,13+,"1237,1246,1345",1,
4,14+,"1247,1256,1346,2345",,
4,15+,"1257,1347,1356,2346",,
4,16+,"1267,1357,1456,2347,2356",,
4,17+,"1367,1457,2357,2456",,
4,18+,"1467,2367,2457,3456",,
4,19+,"1567,2467,3457",7,
4,20+,"2567,3467",67,1
4,21+,3567,3567,124
4,22+,4567,4567,123
4,24x,1234,1234,567
4,30x,1235,1235,467
4,36x,1236,1236,457
4,40x,1245,1245,367
4,42x,1237,1237,456
4,48x,1246,1246,357
4,56x,1247,1247,356
4,60x,"1256,1345",15,7
4,70x,1257,1257,346
4,72x,1346,1346,257
4,84x,"1267,1347",17,5
4,90x,1356,1356,247
