Type,Result,Values,Always,Never
2,3+,12,12,3456789
2,4+,13,13,2456789
2,5+,"14,23",,56789
2,6+,"15,24",,36789
2,7+,"16,25,34",,789
2,8+,"17,26,35",,489
2,9+,"18,27,36,45",,9
2,10+,"19,28,37,46",,5
2,11+,"29,38,47,56",,1
2,12+,"39,48,57",,126
2,13+,"49,58,67",,123
2,14+,"59,68",,12347
2,15+,"69,78",,12345
2,16+,79,79,1234568
2,17+,89,89,1234567
3,6+,123,123,456789
3,7+,124,124,356789
3,8+,"125,134",1,6789
3,9+,"126,135,234",,789
3,10+,"127,136,145,235",,89
3,11+,"128,137,146,236,245",,9
3,12+,"129,138,147,156,237,246,345",,
3,13+,"139,148,157,238,247,256,346",,
3,14+,"149,158,167,239,248,257,347,356",,
3,15+,"159,168,249,258,267,348,357,456",,
3,16+,"169,178,259,268,349,358,367,457",,
3,17+,"179,269,278,359,368,458,467",,
3,18+,"189,279,369,378,459,468,567",,
3,19+,"289,379,469,478,568",,1
3,20+,"389,479,569,578",,12
3,21+,"489,579,678",,123
3,22+,"589,679",9,1234
3,23+,689,689,123457
3,24+,789,789,123456
4,10+,1234,1234,56789
4,11+,1235,1235,46789
4,12+,"1236,1245",12,789
4,13+,"1237,1246,1345",1,89
4,14+,"1238,1247,1256,1346,2345",,9
4,15+,"1239,1248,1257,1347,1356,2346",,
4,16+,"1249,1258,1267,1348,1357,1456,2347,2356",,
4,17+,"1259,1268,1349,1358,1367,1457,2348,2357,2456",,
4,18+,"1269,1278,1359,1368,1458,1467,2349,2358,2367,2457,3456",,
4,19+,"1279,1369,1378,1459,1468,1567,2359,2368,2458,2467,3457",,
4,20+,"1289,1379,1469,1478,1568,2369,2378,2459,2468,2567,3458,3467",,
4,21+,"1389,1479,1569,1578,2379,2469,2478,2568,3459,3468,3567",,
4,22+,"1489,1579,1678,2389,2479,2569,2578,3469,3478,3568,4567",,
4,23+,"1589,1679,2489,2579,2678,3479,3569,3578,4568",,
4,24+,"1689,2589,2679,3489,3579,3678,4569,4578",,
4,25+,"1789,2689,3589,3679,4579,4678",,
4,26+,"2789,3689,4589,4679,5678",,1
4,27+,"3789,4689,5679",9,12
4,28+,"4789,5689",89,123
4,29+,5789,5789,12346
4,30+,6789,6789,12345
5,15+,12345,12345,6789
5,16+,12346,12346,5789
5,17+,"12347,12356",123,89
5,18+,"12348,12357,12456",12,9
5,19+,"12349,12358,12367,12457,13456",1,
5,20+,"12359,12368,12458,12467,13457,23456",,
5,21+,"12369,12378,12459,12468,12567,13458,13467,23457",,
5,22+,"12379,12469,12478,12568,13459,13468,13567,23458,23467",,
5,23+,"12389,12479,12569,12578,13469,13478,13568,14567,23459,23468,23567",,
5,24+,"12489,12579,12678,13479,13569,13578,14568,23469,23478,23568,24567",,
5,25+,"12589,12679,13489,13579,13678,14569,14578,23479,23569,23578,24568,34567",,
5,26+,"12689,13589,13679,14579,14678,23489,23579,23678,24569,24578,34568",,
5,27+,"12789,13689,14589,14679,15678,23589,23679,24579,24678,34569,34578",,
5,28+,"13789,14689,15679,23689,24589,24679,25678,34579,34678",,
5,29+,"14789,15689,23789,24689,25679,34589,34679,35678",,
5,30+,"15789,24789,25689,34689,35679,45678",,
5,31+,"16789,25789,34789,35689,45679",9,
5,32+,"26789,35789,45689",89,1
5,33+,"36789,45789",789,12
5,34+,46789,46789,1235
5,35+,56789,56789,1234
6,21+,123456,123456,789
6,22+,123457,123457,689
6,23+,"123458,123467",1234,9
6,24+,"123459,123468,123567",123,
6,25+,"123469,123478,123568,124567",12,
6,26+,"123479,123569,123578,124568,134567",1,
6,27+,"123489,123579,123678,124569,124578,134568,234567",,
6,28+,"123589,123679,124579,124678,134569,134578,234568",,
6,29+,"123689,124589,124679,125678,134579,134678,234569,234578",,
6,30+,"123789,124689,125679,134589,134679,135678,234579,234678",,
6,31+,"124789,125689,134689,135679,145678,234589,234679,235678",,
6,32+,"125789,134789,135689,145679,234689,235679,245678",,
6,33+,"126789,135789,145689,234789,235689,245679,345678",,
6,34+,"136789,145789,235789,245689,345679",9,
6,35+,"146789,236789,245789,345689",89,
6,36+,"156789,246789,345789",789,
6,37+,"256789,346789",6789,1
6,38+,356789,356789,124
6,39+,456789,456789,123
7,28+,1234567,1234567,89
7,29+,1234568,1234568,79
7,30+,"1234569,1234578",12345,
7,31+,"1234579,1234678",12347,
7,32+,"1234589,1234679,1235678",123,
7,33+,"1234689,1235679,1245678",126,
7,34+,"1234789,1235689,1245679,1345678",1,
7,35+,"1235789,1245689,1345679,2345678",5,
7,36+,"1236789,1245789,1345689,2345679",9,
7,37+,"1246789,1345789,2345689",489,
7,38+,"1256789,1346789,2345789",789,
7,39+,"1356789,2346789",36789,
7,40+,"1456789,2356789",56789,
7,41+,2456789,2456789,13
7,42+,3456789,3456789,12
8,36+,12345678,12345678,9
8,37+,12345679,12345679,8
8,38+,12345689,12345689,7
8,39+,12345789,12345789,6
8,40+,12346789,12346789,5
8,41+,12356789,12356789,4
8,42+,12456789,12456789,3
8,43+,13456789,13456789,2
8,44+,23456789,23456789,1
9,45+,123456789,123456789,
